"Date of
 Encashment",Name of the Political Party,Denomination
09 October 2023,ALL INDIA TRINAMOOL CONGRESS,100000
09 October 2023,ALL INDIA TRINAMOOL CONGRESS,1000000
09 October 2023,ALL INDIA TRINAMOOL CONGRESS,100000
09 October 2023,ALL INDIA TRINAMOOL CONGRESS,100000
09 October 2023,ALL INDIA TRINAMOOL CONGRESS,10000000
09 October 2023,ALL INDIA TRINAMOOL CONGRESS,1000000
09 October 2023,ALL INDIA TRINAMOOL CONGRESS,100000
09 October 2023,ALL INDIA TRINAMOOL CONGRESS,100000
09 October 2023,ALL INDIA TRINAMOOL CONGRESS,1000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
09 October 2023,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000
